STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA ULA HUKUMET KONAGI
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4821
STATION COORDINATES     : 37.10550N-28.41390E
STATION ALTITUDE (m)    : 615
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53979/101915
RECORD TIME             : 24/07/2017 06:59:22.000000 (GMT)
NUMBER OF DATA          : 5765
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.129938 (E-W) 0.119803 (U-D) 0.12578
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.005457      0.003378    -0.020270
   -0.003378     -0.010915     0.004418
    0.003119      0.001559     0.007536
   -0.013254      0.007277     0.001299
    0.000260      0.007796    -0.001559
    0.014033     -0.007277    -0.011954
   -0.004158     -0.011175    -0.006757
    0.004938     -0.007796     0.012994
    0.008576     -0.008056     0.012474
    0.001559      0.003119     0.009875
   -0.009096     -0.009615    -0.002859
   -0.011175     -0.009875    -0.011175
   -0.005198      0.005457    -0.002339
    0.002079      0.019231    -0.005717
   -0.004418      0.011694    -0.005198
   -0.000260     -0.014033    -0.004678
    0.006237     -0.014553    -0.001559
   -0.001040      0.002079    -0.010135
   -0.011435      0.003638    -0.012994
   -0.007277     -0.003898     0.007536
    0.019491     -0.003119     0.012734
    0.000260     -0.009615     0.005977
   -0.003119      0.007536     0.002599
    0.003378      0.015333     0.009615
    0.003378      0.007796    -0.006757
    0.007796      0.005198    -0.013773
   -0.017932     -0.009875    -0.012214
    0.005457      0.014293    -0.022609
    0.015333      0.015073    -0.002079
   -0.004678     -0.012994    -0.005977
   -0.005717      0.000000    -0.015593
    0.004158     -0.000260    -0.001819
    0.015852     -0.012474     0.007277
    0.001299     -0.000780     0.017412
   -0.005198      0.002079     0.001559
    0.004418     -0.003378    -0.015333
    0.009875      0.012474    -0.008316
   -0.008056      0.018191    -0.006757
    0.001299     -0.005198    -0.021310
    0.004938     -0.019491    -0.013514
   -0.008576     -0.010655    -0.000520
   -0.003119     -0.003119    -0.007017
   -0.011175      0.000780    -0.001299
    0.004418      0.002339     0.002079
   -0.007277     -0.004938     0.015852
   -0.003898     -0.005977     0.012474
    0.001299     -0.016632    -0.010395
   -0.013773     -0.007796    -0.009096
   -0.001559      0.023389    -0.011694
   -0.006237      0.006237    -0.012994
    0.027547     -0.005717    -0.010915
    0.011954     -0.003898     0.004678
   -0.007017     -0.000520     0.004418
   -0.007536      0.008576    -0.005977
   -0.019231     -0.009096     0.002859
    0.017152     -0.003638    -0.006757
   -0.004938      0.011954     0.009875
   -0.011175      0.011694     0.024428
   -0.006237     -0.001299     0.003119
    0.003638     -0.003119    -0.007017
    0.011175      0.005198    -0.009875
   -0.012214     -0.000260    -0.012474
    0.001819      0.000000    -0.012214
    0.004938     -0.012994    -0.002599
    0.012474      0.004158     0.019751
   -0.009615      0.013254     0.038722
   -0.004158     -0.015852     0.004938
   -0.001819     -0.006497    -0.026507
   -0.022090      0.002079    -0.019231
    0.011694      0.002859    -0.023909
    0.002859      0.006237    -0.001819
    0.004158     -0.000780     0.003378
   -0.006757      0.002859    -0.001559
   -0.004158      0.003119     0.010135
    0.019231     -0.008316    -0.013254
   -0.003378     -0.006757    -0.014293
   -0.001819      0.012214    -0.005717
    0.001819      0.007536    -0.006757
    0.008056      0.005457     0.004418
    0.002079      0.011954    -0.010135
   -0.001819     -0.017672    -0.029106
   -0.015073     -0.011175    -0.017932
   -0.012474      0.007796    -0.008836
    0.023909     -0.006757    -0.012214
    0.018971      0.002599     0.006497
    0.007017      0.005457     0.027027
   -0.014293      0.000520     0.010135
   -0.006497      0.002339    -0.019751
