STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BODRUM METEOROLOJI MUDURLUGU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4809
STATION COORDINATES     : 37.03304N-27.43997E
STATION ALTITUDE (m)    : 25
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : T5J71/A1167
RECORD TIME             : 24/07/2017 06:59:25.000000 (GMT)
NUMBER OF DATA          : 2333
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.669047 (E-W) 0.516467 (U-D) 0.437384
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.014300     -0.016133     0.015262
   -0.009370      0.022682    -0.014033
   -0.007970      0.002208    -0.002564
    0.014636     -0.016077     0.015389
   -0.003872      0.006913    -0.000973
   -0.023681      0.010674    -0.014390
    0.034093     -0.037734     0.009224
   -0.016078      0.056286     0.004962
   -0.000694     -0.037338    -0.011389
   -0.002540      0.018628     0.007804
    0.010828     -0.006311    -0.003670
   -0.010285      0.003007    -0.004334
    0.004447     -0.018838     0.009613
    0.000984      0.010833    -0.009226
   -0.015649      0.011752     0.009004
    0.028413     -0.024354    -0.006976
   -0.020604      0.039080     0.005736
    0.016593     -0.058421    -0.004205
   -0.012273      0.058409    -0.006099
   -0.001577     -0.020633     0.002074
   -0.001541     -0.015833     0.001829
    0.009504      0.014006     0.009303
   -0.007969      0.003908    -0.016548
    0.004336     -0.011688     0.008982
    0.006264     -0.005107    -0.000767
   -0.014586      0.017218    -0.002227
    0.001147     -0.007996     0.000973
    0.012931     -0.007071    -0.014599
   -0.008504      0.007221     0.022085
   -0.005037     -0.001051    -0.010956
    0.009746      0.006841     0.005736
   -0.000726     -0.010340     0.002093
    0.002704      0.008634    -0.013329
   -0.015086     -0.002461     0.003476
