STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BOZBURUN ILKOGRETIM OKULU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4815
STATION COORDINATES     : 36.68860N-28.04600E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53997/101909
RECORD TIME             : 24/07/2017 06:59:27.000000 (GMT)
NUMBER OF DATA          : 5374
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.503382 (E-W) 0.349015 (U-D) 0.134876
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.013514      0.004678     0.018451
   -0.011435      0.027027     0.002079
    0.008056     -0.007796    -0.018451
    0.015333     -0.034304     0.008836
    0.009875     -0.021830    -0.004158
   -0.025988      0.034044    -0.011694
   -0.011694      0.046518     0.017152
    0.011175     -0.038982    -0.010135
    0.010135     -0.046518    -0.011954
    0.001299      0.017932     0.014033
   -0.011175      0.028067    -0.003378
   -0.010655      0.015852     0.002079
    0.014553     -0.002079     0.003638
    0.011435     -0.035343    -0.019231
    0.001299     -0.018971     0.001040
    0.001299      0.025208     0.020270
   -0.009096      0.041061     0.000520
   -0.008836      0.016892    -0.005717
   -0.019231     -0.050416    -0.002339
    0.008576     -0.026767    -0.010915
    0.020011      0.043659     0.007796
    0.007536      0.025208     0.010135
   -0.003638     -0.024948    -0.023389
   -0.032485     -0.052235    -0.003378
    0.011435     -0.014033     0.006497
    0.034564      0.043140    -0.001299
   -0.005457      0.071726     0.029366
   -0.021570      0.000780    -0.010655
   -0.006237     -0.091477    -0.034044
   -0.009356     -0.027807     0.020011
   -0.020011      0.044959     0.002599
    0.029626      0.046258    -0.010135
    0.056393      0.001559     0.012994
    0.018451     -0.047298    -0.003119
   -0.054574     -0.023649    -0.006497
   -0.069647      0.019751    -0.002859
    0.010135      0.024169    -0.005977
    0.058472     -0.006237     0.009615
    0.035343      0.015593     0.011175
   -0.024169      0.031705    -0.006237
   -0.036123     -0.040021    -0.006237
   -0.005198     -0.051456    -0.006497
    0.024428      0.004678    -0.010135
    0.036643      0.024169     0.001559
   -0.006237      0.024688     0.016372
   -0.047557      0.012734     0.001559
   -0.042620     -0.003119    -0.008836
    0.009096     -0.004158     0.006757
    0.052755     -0.010135    -0.008836
    0.039501     -0.004418    -0.005198
    0.001559      0.007017     0.008316
   -0.018711     -0.025728    -0.019491
   -0.002859     -0.035863    -0.007796
   -0.020530      0.012214     0.022090
   -0.055874      0.050676     0.004678
   -0.007017      0.063410    -0.004678
    0.053275      0.006497     0.010135
    0.058472     -0.060811    -0.009356
    0.020530     -0.041840    -0.020270
   -0.047557     -0.027027    -0.002079
   -0.048077     -0.010655     0.004418
    0.001299      0.060032     0.009875
    0.018191      0.071986     0.009615
    0.006757     -0.002339     0.000780
    0.009875     -0.048597    -0.010135
    0.017672     -0.030665    -0.004158
   -0.009356     -0.021310    -0.007796
   -0.018191     -0.002599    -0.002339
   -0.014033      0.039241     0.020530
    0.006757      0.035863     0.001040
    0.021050      0.017152    -0.000260
   -0.008576     -0.017152     0.003378
   -0.005457     -0.064449    -0.018711
    0.017672     -0.046778    -0.008836
    0.011435      0.023389     0.008836
   -0.020270      0.068608     0.017152
   -0.033784      0.056913     0.009096
    0.000260     -0.002339    -0.005457
    0.033264     -0.070167    -0.008056
    0.017412     -0.055094    -0.018191
   -0.008056      0.013773    -0.003638
    0.003898      0.038202     0.017932
   -0.000260      0.024428     0.005457
   -0.016372      0.004418     0.001819
   -0.018971     -0.012474    -0.004938
   -0.015593     -0.016632    -0.009096
    0.021830      0.004678     0.004418
    0.038202      0.013514    -0.003638
    0.023649     -0.007536     0.005977
   -0.007277     -0.026507    -0.000780
   -0.040281     -0.002599    -0.012474
   -0.023389      0.037942     0.012474
   -0.016372     -0.000260    -0.005457
    0.017152     -0.034304    -0.009096
    0.057433     -0.004158     0.009615
    0.004938      0.023129     0.003119
   -0.036903      0.041580     0.009356
   -0.020270      0.008576     0.001040
    0.011435     -0.049117    -0.019491
    0.032485     -0.044699    -0.007536
    0.008316      0.006497     0.006237
   -0.038722      0.040801     0.001299
   -0.027027      0.025208     0.009875
    0.024688     -0.001819     0.004938
    0.020270     -0.020011    -0.008316
    0.004678     -0.026507    -0.010915
    0.014033      0.002599    -0.003638
   -0.013254      0.018971     0.009096
   -0.021050     -0.008836     0.000260
    0.015852     -0.014293    -0.004678
   -0.001040      0.008836     0.006757
   -0.021310      0.023129     0.008836
   -0.008056      0.033524    -0.007796
   -0.004418      0.017152    -0.000260
    0.020790     -0.040541     0.000520
    0.026507     -0.063930    -0.016112
    0.021050     -0.011435    -0.001819
    0.007796      0.004418    -0.008056
   -0.021050      0.037942     0.018191
   -0.040021      0.090957     0.031705
   -0.046258     -0.013254    -0.030146
    0.027027     -0.075624    -0.016892
    0.050156     -0.022349     0.016112
    0.008836      0.025208     0.001819
    0.011435      0.047557    -0.006237
   -0.003119     -0.030925    -0.015073
   -0.007017     -0.069387     0.005457
   -0.029366      0.002859     0.003378
   -0.028067      0.070687    -0.001040
    0.020790      0.062630     0.028586
    0.038462     -0.013773    -0.005198
    0.018711     -0.049637    -0.026767
   -0.051196     -0.047038    -0.001299
   -0.029366     -0.004678    -0.000780
    0.040801      0.042880     0.005198
    0.030925      0.044699     0.016892
   -0.005977      0.016112     0.010395
   -0.032225     -0.055874    -0.019751
    0.015073     -0.049637    -0.025728
    0.024948      0.013514     0.009875
   -0.025468      0.032225     0.012994
   -0.030665      0.028327     0.002079
   -0.013773     -0.021310     0.003898
    0.022609     -0.012994     0.000260
    0.014293      0.070427     0.021050
   -0.003898      0.060291     0.003378
    0.044699     -0.070687    -0.045998
    0.057173     -0.171519    -0.027287
   -0.021310     -0.096414     0.005977
   -0.099533      0.102132     0.019231
   -0.075884      0.214918     0.039241
    0.016892      0.125261     0.037682
    0.063670     -0.030925    -0.002859
    0.041320     -0.122402    -0.041840
    0.020530     -0.162423    -0.048337
    0.025208     -0.090177    -0.024688
    0.007277      0.049377     0.020011
   -0.050936      0.113046     0.039501
   -0.075624      0.099533     0.022869
   -0.026767      0.035083     0.004938
    0.003638     -0.026507    -0.000520
    0.041061     -0.035343    -0.019751
    0.081861     -0.034824    -0.023909
    0.025728     -0.057433     0.008056
   -0.004418     -0.030406    -0.007536
   -0.034564      0.019751    -0.011175
   -0.096674      0.034824     0.022349
   -0.028586      0.058732     0.011954
    0.047817      0.033004     0.000000
    0.054834     -0.019751    -0.005717
    0.050936     -0.044959    -0.007277
   -0.004938     -0.040541    -0.007536
   -0.053535      0.000000    -0.007277
   -0.042880      0.024688     0.011435
   -0.004938      0.035863     0.002859
    0.018191      0.018971    -0.000520
    0.021830     -0.012734     0.003898
    0.024428     -0.016892    -0.008836
    0.004418     -0.014293    -0.004158
   -0.005457     -0.009096    -0.001559
   -0.006237      0.001819     0.001299
   -0.028846      0.015073     0.005717
   -0.027547      0.018971     0.001819
    0.004678      0.010395     0.000000
    0.036383      0.001040     0.002339
    0.035863     -0.018451    -0.007277
    0.010395     -0.028327    -0.011694
   -0.023649     -0.006497     0.003638
   -0.033784      0.011954    -0.001559
   -0.014293      0.013773     0.003898
    0.000000      0.019231     0.007017
    0.025208      0.008836    -0.006497
    0.018451     -0.021570     0.002079
   -0.002599      0.001299     0.003378
   -0.011435      0.025468    -0.001559
   -0.012734     -0.001819    -0.003378
    0.009096     -0.026507    -0.008056
