STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA SELIMIYE ORMAN ISLETME SEFLIGI
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4814
STATION COORDINATES     : 37.39910N-27.65670E
STATION ALTITUDE (m)    : 63
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53831/101902
RECORD TIME             : 24/07/2017 06:59:22.000000 (GMT)
NUMBER OF DATA          : 5938
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.246883 (E-W) 0.301457 (U-D) 0.156186
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.004158      0.020790    -0.002339
    0.006757      0.010655     0.002339
   -0.012214      0.013254    -0.007277
   -0.005717      0.029366     0.005717
   -0.015593      0.026507     0.006757
   -0.011175      0.035083    -0.007536
    0.007536      0.010915     0.002079
   -0.008836      0.007536    -0.001040
   -0.011435      0.026767     0.002079
   -0.010655      0.011435    -0.000260
   -0.001559      0.026767    -0.009356
    0.007796      0.031705     0.008836
   -0.012734      0.025728     0.005198
   -0.012994      0.010655    -0.007017
   -0.000520      0.010135    -0.000780
   -0.011694      0.033004     0.007017
   -0.017412      0.015852     0.001819
   -0.001299      0.016892    -0.008316
    0.003378      0.029366     0.002339
   -0.005198      0.019231     0.001559
   -0.011435      0.014553    -0.000520
   -0.006757      0.020790     0.003378
   -0.001819      0.029886    -0.004418
   -0.006757      0.028327     0.003378
   -0.011954      0.010915    -0.000520
   -0.012214      0.005717    -0.003378
   -0.000780      0.029106     0.007277
    0.008056      0.014293    -0.002859
    0.003898     -0.006497    -0.006757
   -0.004938      0.002599    -0.002339
   -0.002339     -0.001559    -0.002079
    0.002079     -0.007017    -0.003378
    0.000520     -0.012994    -0.001040
    0.008836     -0.000260    -0.001040
    0.002599     -0.001299    -0.006757
   -0.012994     -0.004938     0.003638
    0.002079      0.016372    -0.000520
    0.012994     -0.002599    -0.008316
   -0.001559     -0.005717     0.002599
   -0.000780      0.001819    -0.002859
   -0.002079     -0.014553    -0.001299
   -0.002079      0.003119     0.000260
    0.008576     -0.000260    -0.003119
   -0.001299     -0.010395    -0.000260
   -0.003898      0.025728    -0.001299
   -0.002339      0.033264     0.003119
   -0.013773      0.018191     0.001299
   -0.013773      0.024428     0.002339
   -0.001559      0.016112    -0.000260
    0.000780      0.018191     0.000260
   -0.009875      0.025988     0.002339
   -0.007796      0.018451    -0.001559
   -0.009875      0.022869     0.001819
   -0.011435      0.023649    -0.001559
    0.005977      0.025208     0.004938
   -0.003119      0.008836    -0.003898
   -0.014033      0.011694    -0.004938
   -0.003638      0.035343     0.010135
   -0.006757      0.025988    -0.005198
   -0.014553      0.021570     0.003119
   -0.002339      0.011954     0.002339
    0.004158      0.018191    -0.006237
   -0.014553      0.023909     0.005457
   -0.004158      0.017672    -0.004418
   -0.002599      0.025728     0.002599
   -0.016892      0.021310     0.003378
   -0.001040      0.028846    -0.002339
   -0.006497      0.014553     0.002079
   -0.010655      0.006757    -0.003638
    0.001559      0.029106     0.004938
   -0.009875      0.027547    -0.001299
   -0.018971      0.022349     0.001299
   -0.003119      0.013514     0.006237
    0.006757      0.013254    -0.004938
   -0.008836      0.022609    -0.000780
   -0.012734      0.030665    -0.000520
   -0.001299      0.020270     0.003378
   -0.012734      0.015852     0.000520
   -0.007796      0.024688    -0.001040
   -0.000520      0.017672     0.000260
   -0.015333      0.021050    -0.000260
    0.012214      0.013254     0.003638
   -0.004158      0.012734    -0.005457
   -0.028846     -0.002859    -0.001819
    0.019491     -0.016372    -0.000520
    0.008576      0.012994    -0.002859
   -0.003378     -0.009615    -0.004678
    0.018971     -0.022349    -0.004678
   -0.002599     -0.001559     0.002599
   -0.011954     -0.012474    -0.002599
    0.008576     -0.005457     0.000780
    0.015073      0.011954    -0.002599
   -0.006237      0.001819    -0.003378
