STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA YERKESIK ORMAN ISLETME MUDURLUGU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4808
STATION COORDINATES     : 37.13920N-28.28725E
STATION ALTITUDE (m)    : 661
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 52623/101129
RECORD TIME             : 24/07/2017 06:59:24.000000 (GMT)
NUMBER OF DATA          : 5592
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.224014 (E-W) 0.199845 (U-D) 0.089917
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.007277      0.000520     0.001299
   -0.021570      0.000260     0.005457
    0.017412      0.005457    -0.003378
   -0.010395      0.001819    -0.000520
    0.010135     -0.006757     0.000260
   -0.000260      0.008056     0.000260
   -0.005457     -0.007017    -0.000520
    0.007536      0.006237     0.002079
   -0.016632     -0.009356    -0.008836
    0.022090     -0.000520     0.006757
   -0.020530      0.015852    -0.004678
    0.009875     -0.005457    -0.010915
   -0.000260     -0.001040     0.010395
    0.001819     -0.004678    -0.008056
    0.012994      0.007536    -0.002599
   -0.016632     -0.010655    -0.001299
    0.012734     -0.002079     0.007017
   -0.026248      0.007536     0.000260
    0.014293     -0.004678    -0.007277
   -0.000260     -0.001299     0.007536
    0.006757     -0.003119    -0.002079
    0.003638      0.015333     0.005198
   -0.015593     -0.005198    -0.007277
    0.020530     -0.004678     0.000520
   -0.018191     -0.005198     0.004418
    0.013773     -0.003898    -0.005977
   -0.013773      0.010655     0.002079
    0.007536      0.003638    -0.003119
    0.003378      0.006757     0.004418
   -0.009356     -0.012994    -0.008056
    0.021310     -0.000260     0.000520
   -0.016892     -0.000520     0.000000
    0.009356     -0.003898    -0.005457
   -0.018191      0.009615     0.011694
    0.009096      0.006497    -0.001299
    0.003378      0.004158    -0.003898
   -0.004938     -0.013254     0.000000
    0.006497     -0.004678     0.003119
   -0.014813      0.000000    -0.006497
    0.015593      0.008576     0.002339
   -0.020790      0.003898     0.003119
    0.010395     -0.002859    -0.006497
    0.003638      0.002859     0.006757
    0.007536     -0.007017    -0.005977
    0.003638     -0.002079    -0.001299
   -0.021830      0.001040     0.002859
    0.011435      0.010395    -0.004678
   -0.011954      0.001819    -0.005717
    0.015073     -0.001559     0.004418
   -0.012734     -0.009615     0.002339
    0.002859     -0.007017    -0.008056
    0.009615      0.010915     0.005977
   -0.005198      0.003638    -0.000520
    0.009875      0.007277     0.000260
   -0.020011     -0.007536    -0.005198
    0.016632     -0.001299    -0.003898
   -0.014033     -0.007017     0.000780
   -0.001819     -0.003638    -0.001299
   -0.001819      0.017412     0.010915
    0.003898      0.000780    -0.003638
    0.021050      0.003378     0.000260
   -0.018191     -0.014813    -0.003119
    0.008576     -0.007796    -0.000780
   -0.015333     -0.002339     0.003378
    0.008836      0.004418    -0.002079
   -0.008836      0.014033     0.006757
    0.002859     -0.004938    -0.007017
    0.023389      0.002079    -0.000780
   -0.009096     -0.013514     0.000000
    0.001040     -0.003638     0.003638
   -0.031705     -0.002079     0.000520
    0.014813      0.007017    -0.001299
    0.001299      0.015073     0.009875
    0.005198     -0.007796    -0.005457
